Colegio,geo_shape
CEIP Vicente Gaos,"{""coordinates"":[[-0.3504269175513401,39.474389846024096],[-0.35032714369587836,39.4745767459355],[-0.3502569410468578,39.474710277419305],[-0.35014862157965826,39.47491722497261],[-0.350094726486431,39.474990942518374],[-0.3500510259275929,39.475076961541845],[-0.3493158984267987,39.474859858728855],[-0.34917204964592224,39.475153770780004],[-0.34899338204817754,39.47551882229502],[-0.34875264468300043,39.47598996060948],[-0.3487280523881759,39.476033899155574],[-0.34877223763673143,39.47609583704641],[-0.34876414463982414,39.4762007710193]],""type"":""LineString""}"
CEIP Vicente Gaos,"{""coordinates"":[[-0.3510560767887696,39.478156180832514],[-0.35098432509086325,39.47813515563774],[-0.3503068686391711,39.478134524090734],[-0.3501047864940415,39.47813567618719],[-0.34947590594133665,39.478143837368805],[-0.3486062378086794,39.47815396961903],[-0.34852817356555554,39.47815218840984],[-0.3485782712412077,39.47764619749235]],""type"":""LineString""}"
CEIP Sector Aéreo,"{""coordinates"":[[-0.394864858739561,39.465329872226434],[-0.3992947897667981,39.46612851654141]],""type"":""LineString""}"
Colegio Santiago Apóstol,"{""coordinates"":[[-0.3279369104903589,39.47426930131924],[-0.3285821977035405,39.47429435882983],[-0.3286597302041632,39.474315398239106],[-0.3287646274238244,39.47431744023188],[-0.3288303671893643,39.47430006369851],[-0.3291167822678528,39.47432125563947],[-0.3292046227928437,39.474327085246706],[-0.32934774528011984,39.4743227271068],[-0.3296038938705437,39.474345684335916],[-0.3296754116588581,39.474349973660296],[-0.32971802461747685,39.47432577708693],[-0.3297201248420317,39.474270880222335]],""type"":""LineString""}"
Colegio Santiago Apóstol,"{""coordinates"":[[-0.3300401895149458,39.4751997237092],[-0.33009353028452737,39.47521103364587]],""type"":""LineString""}"
CEIP Santa Teresa,"{""coordinates"":[[-0.38032656622228683,39.47639446947911],[-0.3802795526377555,39.47654837802161],[-0.3802420600500501,39.476671111838215],[-0.3802092066689443,39.4768470804937],[-0.38019694588351877,39.47693420470253],[-0.38021403502819334,39.476993574146945],[-0.38022601759361996,39.477184619916684],[-0.3802656378192372,39.47722413291763],[-0.3802999224097071,39.47736188003071],[-0.38028231214414493,39.47740257664345],[-0.38014045484327214,39.47763578100956],[-0.38021607506699473,39.47765028914419],[-0.38027223976308744,39.47767091162404],[-0.38035120681045115,39.47768213664344],[-0.38033632749991664,39.47776280468299],[-0.3803081045881765,39.477994527742304],[-0.38067244788536875,39.478022220517325],[-0.38075981609130316,39.47802884375269],[-0.3806920423511962,39.47839929461609],[-0.3807140431746795,39.47840527957942],[-0.3807040704619631,39.47844479618228],[-0.38130516004534754,39.47855635635202],[-0.38131984624556453,39.47856795910985],[-0.381325384854705,39.478584147502865],[-0.38139548992694144,39.478593183877216]],""type"":""LineString""}"
CEIP Santa Teresa,"{""coordinates"":[[-0.37893381317326014,39.479111531841106],[-0.37910911600410857,39.47891103398903],[-0.3792395519284769,39.47884583779689],[-0.3793571945434709,39.47878057726008],[-0.3797905292614052,39.47891666847695],[-0.3798376994811583,39.478827497315706],[-0.3798994361932434,39.47884085931031]],""type"":""LineString""}"
CEIP Santa Teresa,"{""coordinates"":[[-0.3799915017511196,39.481004737601566],[-0.38001725209008486,39.480816281358024],[-0.37996378450346624,39.480579037443185],[-0.3798482603193687,39.4800664405695],[-0.3798415849688341,39.4799038030109],[-0.3798266649226075,39.479799659203884],[-0.3799065920336894,39.47977980154466],[-0.379860731919699,39.47958868473237],[-0.3798416150311427,39.47955953816771],[-0.3798243976651971,39.479541228763466],[-0.37975113692555795,39.479476336043525],[-0.37965194698784027,39.47938512317777],[-0.3797928826736828,39.47906446752096],[-0.37985579298200994,39.47893244690374],[-0.3798994361932434,39.47884085931031],[-0.38019309271278096,39.47890723361931],[-0.3805435265119258,39.478975446511186],[-0.381149418880676,39.4790762016368],[-0.38118855440501737,39.47907994300186],[-0.38120805670752816,39.47906404145888],[-0.381264331196802,39.479071645535235],[-0.3813266295356831,39.47883587314113]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.3710767302930355,39.46759120487893],[-0.3711164241113956,39.46753854013022],[-0.3718242134091504,39.467241655629124],[-0.37195264708365583,39.46723055953594],[-0.3720604270666027,39.46719086269193],[-0.37213509149901985,39.46711125479371],[-0.37277798252533434,39.46684094392433],[-0.3729245922899144,39.466824319049],[-0.373005139150606,39.466788133518996],[-0.37303427546795015,39.4667501029597],[-0.3730681561632712,39.46671784977301],[-0.3739536602967735,39.46634564567697]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.3711611435713852,39.46254181652921],[-0.37144945768869625,39.46286932321129],[-0.371524794436807,39.462968633870574],[-0.3715750496118497,39.46315050231572],[-0.371653113504858,39.463230111068114],[-0.37180353921598985,39.46331962451022],[-0.37204562844226735,39.4634482808613],[-0.3720403167882241,39.46351965368279],[-0.37219744359647194,39.463568934406524],[-0.3721945681649257,39.463624833854006],[-0.37236626283560925,39.4636416832507],[-0.3724480562545655,39.46367522011769],[-0.3725889894925402,39.463756861360174],[-0.37273407295910255,39.463899674119965],[-0.37291509191926236,39.464090531276284],[-0.37314105671488845,39.46432872283638],[-0.3733834416985472,39.46457644072754],[-0.3735138875775365,39.464702321186344],[-0.3735982700840838,39.464654684320045],[-0.37382569856658227,39.464685349394394],[-0.3740005497604566,39.46486050731568],[-0.3741497302529042,39.46498518881496],[-0.3741393964588303,39.46500589988542]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.36955387608013235,39.48813305124566],[-0.3693514420216308,39.488078687755696],[-0.36910025263059537,39.48800879698551],[-0.3690648102227949,39.48798963553865]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.3691366620076499,39.49022280711418],[-0.369251664315799,39.49013004325005],[-0.36948663240625207,39.48994051232988],[-0.3695298996854245,39.4899362352244],[-0.36958817534074917,39.48989299712947],[-0.36958858229906744,39.48985827665709],[-0.3701033253008872,39.48944478295553],[-0.369996769425857,39.489356587029796],[-0.3699638031862685,39.489328095665144],[-0.3703245390223913,39.489246123885685],[-0.3703357860262873,39.48921344417546],[-0.3701763757625377,39.48908897931206],[-0.37017178455882666,39.48904163343441],[-0.37029326412398206,39.48893862887803],[-0.37036715223127564,39.48887597577048],[-0.3704126492582944,39.4887779783435],[-0.37053275100154454,39.48851424306325],[-0.37057768540801617,39.48841052307339]],""type"":""LineString""}"
