Colegio,geo_shape
CEIP La Purisima (Tres Forques),"{""coordinates"":[[-0.40526818218542904,39.46945430245071],[-0.4053572110791344,39.46920723994892],[-0.40536685402301226,39.469086795359594],[-0.4054075320979688,39.46895634566585],[-0.4054382071347137,39.468917687111],[-0.40551406355723113,39.46871227552826],[-0.4056724506618017,39.46818605108789],[-0.4057792977170376,39.46785231730519],[-0.40576138419633917,39.46759316188983],[-0.4057470090691174,39.467466408215095],[-0.4056477011713742,39.467318887733676],[-0.4055980096974071,39.46725138056167],[-0.4054916546006682,39.467235027209824],[-0.40555151048435595,39.46704848859413],[-0.40558773038996426,39.466973250843935],[-0.4055669130731071,39.46682600955746],[-0.4055496423766559,39.46672748888241],[-0.40553135625031855,39.46656299270249],[-0.4055341676860701,39.466474510258855],[-0.40551837065321344,39.46632951612746],[-0.40548921782926406,39.46622909506881],[-0.40547917957190344,39.46610919750013],[-0.405482013506705,39.46603033790002],[-0.4054637602968565,39.46582605307546],[-0.4054384459042106,39.46577313303614],[-0.4053928328869859,39.465739092790066],[-0.40533969526017294,39.46572338328945],[-0.4053604825818191,39.46560309105362],[-0.40529332944542273,39.465597478340854],[-0.40497297750162065,39.46554181384484],[-0.4047966537398805,39.4655026150232],[-0.404818846908476,39.46544258560366],[-0.40490026778333305,39.46532017541083],[-0.40489766530359583,39.465183805396336],[-0.40489633023821325,39.46511387236769],[-0.4048484454924307,39.465090907105754],[-0.40478143283570706,39.465084718871196],[-0.4047402766554012,39.4650781341508]],""type"":""LineString""}"
Colegio La Purísima (Grau),"{""coordinates"":[[-0.33367538805340496,39.463119953048846],[-0.33366067341947503,39.46308479484124],[-0.33368584763961834,39.46284603705859],[-0.3337281267818657,39.46250221710719],[-0.3337532981638246,39.462297517690686],[-0.33380734251024885,39.46183815564278],[-0.33383487158281716,39.461795141627526],[-0.3339235075991619,39.46179376884428],[-0.33401091392751575,39.461805426865304]],""type"":""LineString""}"
Colegio La Purísima (Grau),"{""coordinates"":[[-0.33853767326120787,39.46161100240063],[-0.33819408353437813,39.46150302352134],[-0.3379340936709503,39.46142131649621],[-0.3378178416529984,39.46138478152163],[-0.3378075634790288,39.461361729604846],[-0.3376801871041804,39.46132501353541],[-0.3376235346428423,39.46132371570086],[-0.3371247153401745,39.46118460344142],[-0.3370156979917508,39.461152141437246],[-0.33672308031145176,39.461065008537496],[-0.33648975506665335,39.46099958189479],[-0.3360767923692783,39.46087592887015],[-0.33574044721395374,39.460776596000144],[-0.3353374146455076,39.46065829940188],[-0.3345548812516293,39.46042653171955],[-0.3345449946965679,39.460449214221086],[-0.33445553180772203,39.46063807576055],[-0.33454365175770984,39.46067225899821],[-0.3343723579366802,39.4617672390471],[-0.3340788695771286,39.46172588810582]],""type"":""LineString""}"
CEIP Vicente Gaos,"{""coordinates"":[[-0.34705267410939517,39.47419021339716],[-0.3473256422416097,39.47427512458323],[-0.3473757143521562,39.47430713877542],[-0.34768272622690627,39.47438285625183],[-0.34795565813047485,39.47446267339589],[-0.3485841049451794,39.4746312132866],[-0.3493158984267987,39.474859858728855]],""type"":""LineString""}"
CEIP Sector Aéreo,"{""coordinates"":[[-0.3990547681150594,39.470215520140755],[-0.3991347229021543,39.46993674671386],[-0.3992271179310828,39.469614593029455],[-0.39919102758457653,39.469533156318505],[-0.39923716076550647,39.46934501503719],[-0.3992404913093167,39.46933143038403],[-0.39934505609474125,39.469276383264955],[-0.399433478191603,39.46899876750507],[-0.3994351120537877,39.46895490583609],[-0.3992631914675382,39.46892650949583],[-0.3992769966035155,39.4688834463252],[-0.3994146791682338,39.4684053675471],[-0.39958653201626443,39.46843439545696],[-0.39987238171620804,39.467469912112435]],""type"":""LineString""}"
Colegio Santiago Apóstol,"{""coordinates"":[[-0.32972817717794234,39.47396496672912],[-0.32973562812856694,39.47382128118034],[-0.32974229594318505,39.4736926870704],[-0.3297715009323811,39.473551553580165],[-0.3298040779253096,39.47339413230582],[-0.32982277475787947,39.473287575169266],[-0.329839760157071,39.47318354889265],[-0.3298632270706181,39.4730570335077],[-0.32989050589097857,39.47290996220061],[-0.32991682950917905,39.47277433614627],[-0.3299453827038068,39.47264599622142],[-0.32995990735489067,39.47257207369902],[-0.32997133585098004,39.47256566081944],[-0.3299822478458404,39.47251841751867],[-0.32997379425978923,39.472501391374415],[-0.3299890554426491,39.47240429189427],[-0.33001680879269796,39.47225734945617],[-0.33003250752978297,39.47217798019083],[-0.3300266170147702,39.472139255955604],[-0.3299367048287678,39.47212141039999]],""type"":""LineString""}"
Colegio Santiago Apóstol,"{""coordinates"":[[-0.33138211887654817,39.47436542518731],[-0.3310530726719925,39.47431484257141],[-0.3309283940450289,39.47430509807242],[-0.330829737068926,39.474297388039005],[-0.3306969821705461,39.47429338732874],[-0.3305594567868602,39.474285101334615],[-0.33048049666705503,39.47427560120343],[-0.33047365067814055,39.47430202778892],[-0.330472033437467,39.47430389057746],[-0.3301284001801498,39.474288829484955]],""type"":""LineString""}"
Colegio Santiago Apóstol,"{""coordinates"":[[-0.3300401895149458,39.4751997237092],[-0.3301044232125555,39.47435377114572],[-0.3301267363628549,39.47433232593293],[-0.3301284001801498,39.474288829484955],[-0.33009280083876125,39.474273078699056],[-0.3300277805005554,39.47426804075065],[-0.3300431345400611,39.47401072410511]],""type"":""LineString""}"
CEIP Santa Teresa,"{""coordinates"":[[-0.38357272284387833,39.47817078218537],[-0.38343419441670257,39.478151765233534],[-0.38335786729160565,39.47814311790394],[-0.38334073980700556,39.478225951000226],[-0.3830987022110471,39.478192762565634],[-0.38259310129492485,39.47812343363758],[-0.38251447825935125,39.47811265210858],[-0.38249872055830614,39.478110491807804],[-0.38249608033164384,39.47818088742858],[-0.3824501587164953,39.47818315836994],[-0.3824446140079109,39.47819145669815],[-0.3823979577715389,39.47818479957033],[-0.3823236918725847,39.47840788259463],[-0.38226413650442215,39.47843268543913],[-0.3821832797787634,39.47868207871832],[-0.3821453275642812,39.47867471848877],[-0.3814404325946863,39.47854209696579],[-0.3814272400983676,39.47858762652006],[-0.38139548992694144,39.478593183877216],[-0.3813361220940842,39.478804064397835]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.3720185682558771,39.46897926258219],[-0.37234642097835,39.46875419336971],[-0.3726681444713,39.468529508942844],[-0.3727841850049583,39.468448468563906],[-0.372811522619058,39.46841226854119],[-0.3728899172504523,39.46836466536548],[-0.3730110802188436,39.46828910528764],[-0.3733405413847143,39.46805648412764],[-0.3736088217312114,39.46787177457231],[-0.37362392414073675,39.4678096560965],[-0.3734865168179597,39.46762088746305],[-0.3731553953148554,39.46714559458018],[-0.3729838695979031,39.46690248064581],[-0.3729245922899144,39.466824319049]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.3700740736443287,39.464359510808585],[-0.3705052926003562,39.46444787285028],[-0.3713902799002784,39.46463856223614],[-0.3714301561381298,39.46466951031004],[-0.37162370459306593,39.46470182864155],[-0.3718050658813607,39.46474300866421],[-0.3718872503440853,39.46474583387485],[-0.3723764518669773,39.46485130525966],[-0.3727775090079641,39.46494008052755],[-0.3728390892548005,39.46500731163434],[-0.37300661671656266,39.46499838272919],[-0.3732233418608283,39.465066454819066],[-0.37333461865339895,39.465097996279546],[-0.3734995487306965,39.465129787190875],[-0.3736638479573791,39.46519955011751],[-0.3737398253970527,39.4651816117059],[-0.37389021185826204,39.46522550284459]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.37779663326607477,39.46346707830751],[-0.3775587175908177,39.46355667268464],[-0.377236308171833,39.46369806304296],[-0.3769139310916504,39.463836206444654],[-0.37683077260412656,39.4638850075998],[-0.3767290464761225,39.46393089053683],[-0.3765967099358419,39.463968803287436],[-0.377236308171833,39.46369806304296],[-0.376198290321871,39.46414048585228],[-0.37586310732126355,39.464276766025804],[-0.3755838626546151,39.464399760128316],[-0.37528784969943507,39.464510653484],[-0.3752059278969814,39.4645532797196],[-0.37492550202031627,39.46467031863896],[-0.374498642574915,39.46485138505952],[-0.3741393964588303,39.46500589988542],[-0.3741539143698236,39.465057413216854],[-0.3740719163608998,39.465161365221405],[-0.37389021185826204,39.46522550284459],[-0.374005737896695,39.465465405124654],[-0.3742266222360732,39.46589622849092],[-0.37430564738861083,39.46605378423066],[-0.3742930982720303,39.46610885977337],[-0.37433574216191295,39.46618089997381]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.37759403985401596,39.46756034563139],[-0.3773513277635882,39.46749845895035],[-0.37720911064810125,39.46745142064895],[-0.377090961914619,39.46741872327639],[-0.3769146588488557,39.46735914710231],[-0.37679420243720835,39.46732139835904],[-0.37674105822229476,39.467283397804515],[-0.37667056018876754,39.46718089345686],[-0.3765308320151782,39.46715122453279],[-0.37641005856475895,39.4671843134507],[-0.37627956325996187,39.46718898790998],[-0.3761571426204917,39.46719152206186],[-0.3758399781613898,39.46711614701834],[-0.3753398829720426,39.46699284712464],[-0.3752735303841646,39.46697763264744],[-0.37495770862694083,39.466999400392645],[-0.37477646186011043,39.46704130245542]],""type"":""LineString""}"
CEIP San Juan de Ribera,"{""coordinates"":[[-0.37546430604791964,39.469083163355535],[-0.3754133393531297,39.46893469955286],[-0.3753587178623004,39.468695451707745],[-0.37527786498410326,39.46842273918246],[-0.3752275797048323,39.46826708544769],[-0.375164401063309,39.468040021418226],[-0.3750973153303025,39.467798917176026],[-0.3750553340355852,39.46764803099757],[-0.3750055963581681,39.46743409629611],[-0.37496024659503413,39.46730628480561],[-0.3748126381494355,39.46712510150948],[-0.37477879422603505,39.467077322772624],[-0.3747722674344165,39.46697653714],[-0.37454857687877585,39.46652846261705],[-0.3744522429087167,39.46633549518877],[-0.37436807988980214,39.46616690570383],[-0.3741290403567312,39.46627035003502],[-0.3740020094814306,39.46632532248041]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.369187773161114,39.48693297519858],[-0.36904295848686924,39.48701664539237],[-0.3689772566854983,39.487086682846865],[-0.36918398505082584,39.48722733376161],[-0.36934492352591863,39.48734959407343],[-0.3694988606535941,39.487466534545604],[-0.36961039731592027,39.487546836673495],[-0.36961731591337893,39.48755134452593]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.3721803146903213,39.485378360935535],[-0.3720536866190309,39.48565876813696],[-0.3717297491394481,39.48638943828362],[-0.37171909934982106,39.486424134311655],[-0.3718343507801841,39.48648087752921],[-0.371712483360191,39.48662132989686],[-0.3716460378025181,39.486595277142264],[-0.3714537745701034,39.48701191149363],[-0.3714247477969494,39.4870889843329],[-0.3714744359981767,39.48711780581109],[-0.37142064036775513,39.48728178178514]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.3749545864036986,39.4879633983436],[-0.37459712312585197,39.48789347520286],[-0.3744120197791032,39.48785726657352],[-0.37409433158605376,39.48779512154344],[-0.37379092643037704,39.48773576957105],[-0.37358132479001666,39.48770197341804],[-0.37339215136894055,39.487677396091314],[-0.37330402394328394,39.487640521097035],[-0.372610948358104,39.487504935974364],[-0.3725716739476894,39.48750918561905],[-0.37241101684119554,39.4874678879972],[-0.37203024933735085,39.48739644985734],[-0.3718629821480143,39.48735860819608],[-0.3714626120629537,39.487286757265935],[-0.3713197217632612,39.48726981797173],[-0.3711852565439888,39.48724456212813],[-0.37114898828155773,39.487217815264195],[-0.3709057730152137,39.487172182949244],[-0.37040913239322715,39.48707899929997],[-0.3703475543936212,39.487045770567164],[-0.3702693079645809,39.487036445904],[-0.3701582366076837,39.487090829711555],[-0.36976065907906547,39.48742151182632],[-0.3696349795095329,39.48754176086442]],""type"":""LineString""}"
CEIP Las Arenas,"{""coordinates"":[[-0.32732745338275365,39.467170026593934],[-0.32728606462622634,39.46749849159651],[-0.32754031815690304,39.4675134124857],[-0.32759006260945067,39.46743708674707],[-0.32783870380508817,39.46745746062873],[-0.32787521863348973,39.46753306372374],[-0.3281871795656973,39.46755136949878],[-0.3281611210778644,39.46771472931495],[-0.3282083333032513,39.46777513818954],[-0.3281197329390238,39.467807996463065],[-0.3281311157912054,39.467902827343835],[-0.32803905750824663,39.46862109486373],[-0.32801436907960113,39.46863469614088],[-0.32800342630765017,39.468703287456925],[-0.32802372382007583,39.46874072779022],[-0.3279297752035155,39.46946315602787],[-0.3279198712759993,39.46953930881741],[-0.3278683752189361,39.46954727848464],[-0.32785099268116064,39.469583170452914],[-0.32783590406959207,39.46965323573034],[-0.3278996775240713,39.46969458830799],[-0.32787073411246465,39.46991714558682],[-0.3277844918987878,39.47047881522951],[-0.32774843248591307,39.470713651668355],[-0.3275834259364607,39.471788237861816],[-0.32758070246613796,39.471805970168056]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.3958975353987964,39.47837561869028],[-0.39616163700361257,39.478267355420975],[-0.3969287424828915,39.477941072264564],[-0.39745953020676583,39.47771530021849],[-0.39746567966929014,39.4776561328961],[-0.39747238679651187,39.477646072513465],[-0.39777053391464134,39.47775833448888],[-0.3980041264654142,39.47783451767498],[-0.3980280724409213,39.47784302485238],[-0.39806412501227156,39.47782476313268],[-0.3980683936566931,39.47776526898249],[-0.39958178159832636,39.47746600308033],[-0.39964167144949336,39.47745415974157],[-0.39973209313009356,39.47771963972171]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.4000247745950157,39.480585825460004],[-0.39963238652508265,39.48003447863036],[-0.39964518703862106,39.479926186299444],[-0.39958984664681074,39.47984299110008],[-0.39946085688717625,39.47979345956981],[-0.3988658793349326,39.47895047158783],[-0.39889567789835806,39.47888736336877],[-0.39879006157412894,39.47881698447317],[-0.39867406454617343,39.478669101773754]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.4017377444402652,39.47665631689851],[-0.40177535096451983,39.47665019751112],[-0.40198825379239056,39.47728640221851],[-0.40199125982808376,39.47729880250371]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.401430060084773,39.4756046277822],[-0.4015673764900436,39.476000423597824],[-0.4015370084208504,39.47613975431076],[-0.40160674775191685,39.4763211172237],[-0.40170240999386253,39.47657914103471],[-0.4017377444402652,39.47665631689851],[-0.401416131713125,39.47672222588111]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.40326231126073325,39.47706124630187],[-0.4025353960017296,39.47722377080592],[-0.4022499914214073,39.47726583784579],[-0.4022069081821241,39.47725893521686],[-0.40199125982808376,39.47729880250371],[-0.4020029519829493,39.47734348821427],[-0.40194933264530425,39.47735293518243]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.4032382842462966,39.478399326235035],[-0.4026445361817257,39.478379467695106],[-0.4025638338207615,39.478357147174755],[-0.40236058064997854,39.47835817855602]],""type"":""LineString""}"
CEIP Chiner de Villarroya,"{""coordinates"":[[-0.33353664267475175,39.47159284426269],[-0.3335156723030877,39.47165422606629],[-0.3332960170183882,39.47256802703812],[-0.3332534296695691,39.47258403840745],[-0.3332231221858435,39.47265708118512],[-0.3332794085175818,39.47268450810254],[-0.3333456676519166,39.47269061765611],[-0.3332855940071093,39.47292780567966],[-0.33329328994408974,39.47294311425638],[-0.3332762669459142,39.47299224912276],[-0.3332526871318507,39.473053152972774],[-0.33324425727213347,39.47309344206537]],""type"":""LineString""}"
CEIP Chiner de Villarroya,"{""coordinates"":[[-0.3316054238120059,39.47397632389655],[-0.332173006956302,39.4740557645423],[-0.3322497378824954,39.4740665041973],[-0.3329174731239322,39.474165400218816],[-0.3329998096168932,39.47417759412123],[-0.33297624752550764,39.47423308766085],[-0.3330658642876103,39.47424579724431]],""type"":""LineString""}"
CEIP Antonio Machado,"{""coordinates"":[[-0.3724518244009794,39.49613531690702],[-0.37293060476138695,39.49625160596772],[-0.37300940816482514,39.49629822789089],[-0.373127424251217,39.49632894487166],[-0.37299471523446487,39.49668546787724],[-0.37312261220415743,39.496717788411864],[-0.3735975474660958,39.4968272907206],[-0.37361454195546084,39.49680946455946],[-0.37370006086832286,39.49682707826275],[-0.3737010219466225,39.49685114707187],[-0.3739101053627095,39.496905238198195],[-0.37387338037604734,39.49700246760938],[-0.37361904764155346,39.49759134122298],[-0.37358480519319903,39.497654523981566],[-0.373818422648103,39.497705615915365],[-0.37391658129901356,39.497700498677844],[-0.3743110110203504,39.49778528908369],[-0.3742633646351755,39.497897198416716],[-0.3740801991989486,39.49785894999286]],""type"":""LineString""}"
CEIP Jaime Balmes,"{""coordinates"":[[-0.36971700395723006,39.46082552618718],[-0.3698798615032003,39.460712479493026],[-0.3697672339086838,39.46052754111435],[-0.3694573518132194,39.459790648032865],[-0.36948325624921896,39.45967116056311],[-0.3693586614208359,39.45950900984877],[-0.3692536373891114,39.45952065565885],[-0.36916470161166176,39.45955542629664],[-0.3688164030628643,39.45891492901032],[-0.3688109775467605,39.458904950549716],[-0.3687448697436636,39.45889187034508],[-0.3687055066800393,39.458827739164484],[-0.3686515511873543,39.45870048443955],[-0.36853845239211996,39.45854397770564],[-0.36848845413101383,39.45840778838988],[-0.36842752649467925,39.45828531341789],[-0.36836534743271526,39.45818735725816],[-0.36827210285056017,39.45804244642714]],""type"":""LineString""}"
CEIP Jaime Balmes,"{""coordinates"":[[-0.3676851870560265,39.46306997565482],[-0.3678251988767465,39.46301536896103],[-0.36800057734709235,39.46294360493393],[-0.3684666365188439,39.462747903576464],[-0.3687181141309837,39.46262855552355],[-0.36884408303568694,39.46257750971762],[-0.3689492821062229,39.46254625975032],[-0.36938797712649135,39.462357109724245],[-0.369699934511067,39.46222260453398],[-0.36981061700171264,39.462174880969904],[-0.3701612430842018,39.462037035334205],[-0.37057292676499115,39.461862389879364],[-0.370590012200618,39.461833194242935],[-0.37070205230839814,39.4617922859565],[-0.3708508257962225,39.46174903567478],[-0.37103563532166356,39.46166942286308],[-0.37135601906669025,39.461531405639285],[-0.3714214874397942,39.461497054799324],[-0.3714406866923559,39.461466587051724],[-0.3715297679783979,39.461431476549535],[-0.3716539585977134,39.461416078489314],[-0.3719833557022081,39.46127390668878],[-0.3723991751587609,39.46110113280214],[-0.37251364373121815,39.46103352239895],[-0.37261651791239,39.46101639004514],[-0.3726951127850998,39.460980537970556],[-0.37279392902042935,39.46093228379774],[-0.3728495483621093,39.4608648931196],[-0.3729165637352267,39.46083844197527],[-0.37293783350358284,39.460831536452844],[-0.37317997699341027,39.460778800261785],[-0.37420194157141656,39.46033492683433]],""type"":""LineString""}"
CEIP Alejandra Soler,"{""coordinates"":[[-0.3778550420236896,39.46038602567997],[-0.37656852804530183,39.46092471009689],[-0.3763998294339769,39.460935231300645],[-0.37627750308622476,39.46098256593103],[-0.3761609312346545,39.46109944681993],[-0.37519513219265144,39.46149411434072],[-0.37479725569333594,39.46167204943745],[-0.37446586914258767,39.46181588878315]],""type"":""LineString""}"
CEIP Alejandra Soler,"{""coordinates"":[[-0.3698621792501188,39.460677385536925],[-0.37051697289059177,39.46039971271587],[-0.37063178260281815,39.46038599443087],[-0.37073285593973726,39.460344016361724],[-0.3708270839898286,39.460268204839885],[-0.3718152992926112,39.45984912534094],[-0.37199633611379773,39.45977235075416],[-0.372104658835734,39.459818012684735],[-0.3722002814764634,39.459784084655304],[-0.3722936370999282,39.45992391034957],[-0.3729163698679622,39.460797966441724],[-0.3730683458870874,39.46096410162672],[-0.3731201074166502,39.46109960728781],[-0.3733711574812013,39.46143628119073],[-0.3735377061311323,39.46168430723447],[-0.3737625264523706,39.461995158368914],[-0.37390223537318035,39.46203955948347],[-0.37439718045481585,39.46183814995236]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.3476802406012061,39.46068277754634],[-0.3480487679393812,39.45967322448822],[-0.3480230947851282,39.45959640643678],[-0.34806415385254774,39.459237486204614],[-0.34816927236475076,39.45915425735041],[-0.3481799882449102,39.45882332950957],[-0.34817405883054775,39.45870795040159],[-0.3481575578092541,39.458565413662775],[-0.3481223313906663,39.45839462515049],[-0.34804844486336656,39.45811609420446],[-0.3479726848770366,39.45788308772938],[-0.3478988823166346,39.45771104409352],[-0.34781930046964904,39.45757637564923],[-0.34762377951899215,39.45725602818752],[-0.3474865249159121,39.45708170735639],[-0.34738271230313145,39.456974968626774],[-0.34731556581456036,39.45694741600484],[-0.34709846948625117,39.45690385803972],[-0.3469581125405648,39.45684203489824],[-0.34692654032508036,39.45683334410798],[-0.34689112777349185,39.45685113431206],[-0.34674895052864607,39.456733135705704],[-0.34662422676986426,39.456600228599484],[-0.3466485644260189,39.4565698030737],[-0.346580415148833,39.45635338074624],[-0.34655187221550554,39.45629200184417],[-0.3465346433814403,39.45626427497043],[-0.346256457587748,39.456101810255326],[-0.3460670120757487,39.45601357123876],[-0.3457267902100627,39.45586133968357],[-0.34551283042765496,39.455793832139435],[-0.345500677538889,39.455824308710135],[-0.3453479724237369,39.455780061504655],[-0.3453141943584483,39.45571963116946],[-0.3448458162676706,39.45560931713335],[-0.3446105464796179,39.45556638619668],[-0.3443995754218599,39.45554294824348],[-0.3442573492080294,39.455520029486046],[-0.34413831647776394,39.45549227224688],[-0.34415903803459474,39.45533676792402],[-0.3437271540278952,39.455330312155475],[-0.3430494298399111,39.45536483718219],[-0.342451169073105,39.45542952770879],[-0.341655949410433,39.45552639300036]],""type"":""LineString""}"
CEIP 8 de Març,"{""coordinates"":[[-0.39190299822582,39.46472335776446],[-0.39206094872502384,39.464762963770895],[-0.39210465788772075,39.46480792209753],[-0.3941878600346841,39.46531503857285],[-0.39421842849614275,39.46530392691897],[-0.39425603967394124,39.46525193975504],[-0.3943643788717125,39.465229888246974],[-0.39448518468105376,39.465185965225864],[-0.39472383898991664,39.4653613616556],[-0.39483619285573524,39.465338152884456],[-0.3948892816922518,39.46516981029101],[-0.3958372620767136,39.46534343809006],[-0.3959404317756915,39.46498458494199]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.36814138721894224,39.492497099133466],[-0.36836058249367126,39.492317347360995],[-0.36850454386186104,39.49220992620607],[-0.3686335193630155,39.4921190686268],[-0.3687994905142389,39.49197220699821],[-0.36894755897038156,39.49186751153878],[-0.36897128667862794,39.491814232285385],[-0.368952859462623,39.491756144546926],[-0.36902283985157935,39.491697826280706],[-0.3690821473203548,39.491704287040946],[-0.369150410769661,39.49167690644429],[-0.3691622972033258,39.491656277952224],[-0.3692631396579455,39.49156815554056],[-0.3694076155385891,39.49144648760516],[-0.3695865060629573,39.49130084609438],[-0.3699292475214881,39.49104540368499],[-0.36994589162413544,39.491008916566955],[-0.3700525571198408,39.49092819711792],[-0.37008431136164877,39.490892975378465],[-0.3700975218802704,39.49088480073822],[-0.3701914442669103,39.490819740946975],[-0.37033126651167136,39.49070710137617],[-0.37041057162180385,39.49064036467904],[-0.3705290819377353,39.490727737099924],[-0.37064327576183154,39.490811925321964],[-0.37066689123929264,39.490795849352374],[-0.37070856605003183,39.490744254179184],[-0.3708272962997263,39.490658112565136],[-0.37103523995993787,39.49048928894764],[-0.3712522628182398,39.49031528941118],[-0.3713131433230967,39.49031666672937],[-0.37138834134466925,39.490368731417405],[-0.3714146266201889,39.490235695424765],[-0.37145631780130395,39.490087863296]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.3718621704282703,39.49032680417371],[-0.3719129796283706,39.49028541308498],[-0.3720015091318841,39.49023822843502],[-0.37212618511203,39.490225328779644],[-0.37219839260796933,39.490222501562926],[-0.3728065511391997,39.49018171463703],[-0.3733593830427619,39.49014627277118],[-0.37219839260796933,39.490222501562926],[-0.3738303473829268,39.490113046338465],[-0.37433278435275297,39.49007714638596],[-0.37440710678193706,39.49007344758891]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.3751957778094208,39.48832959064925],[-0.37492319336336627,39.48903317818224],[-0.37487341279695685,39.48908116936754],[-0.37485306896933124,39.48915123492588],[-0.37486601564458544,39.48918075998514],[-0.3746318122516601,39.48978526238127],[-0.37459139990836027,39.48988956722088],[-0.3745705553559293,39.48991147583005],[-0.37456254012115126,39.48995536923541]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.37385995546949025,39.49174007297476],[-0.3739013570171836,39.49167447264259],[-0.3741473116979873,39.49105559832913]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.37734001932188066,39.49145133580287],[-0.3772505511423649,39.49133715984283],[-0.37722488566728096,39.49134167858261],[-0.3771500662285021,39.49123165562288],[-0.37686053570898387,39.49128681990491],[-0.376758842194723,39.49131203958286],[-0.37640631363796534,39.491391385175845],[-0.3763652946143741,39.49139204182848],[-0.3762824193306491,39.49141042131959],[-0.37625238231329217,39.4914260300257],[-0.3759416032447627,39.49149426678428],[-0.37592004316927874,39.491499000466504],[-0.37589672991945344,39.49149424074774],[-0.37579838216419326,39.49152001260035],[-0.3757784827941422,39.491534007842255],[-0.37543124409155365,39.49160632235718],[-0.3754214981441676,39.491591062076765],[-0.3753114470036578,39.49161582773636],[-0.3753006612785112,39.49163351695608],[-0.3751228850216119,39.49167639079731],[-0.3749702083107405,39.4917095487996],[-0.3747509086552455,39.49175864864634],[-0.3757784827941422,39.491534007842255],[-0.37450321526078467,39.491810967657806],[-0.37445391210338513,39.49180985360432],[-0.37440864973519833,39.491798041036496],[-0.37437964071409346,39.491782091342515],[-0.3742886457113838,39.49182878515434],[-0.3741431029672693,39.4918060597263],[-0.374012941134358,39.49177865483382],[-0.3738592301141198,39.49174037729288],[-0.3736996511786691,39.49173912538131],[-0.3736505250647293,39.49173294035016],[-0.37345313778610334,39.49157669800981],[-0.37299487680931037,39.491230843636814]],""type"":""LineString""}"
Colegio Nuestra Señora del Rosario,"{""coordinates"":[[-0.3351264066673757,39.46602029649947],[-0.33495577169851554,39.46600246770368],[-0.33468455263904817,39.46598042465487],[-0.3345719495522874,39.46596588834715],[-0.33448408086893194,39.46596413241306],[-0.3343699708105827,39.46594660197272],[-0.33411993200664014,39.465927848754895],[-0.3338388499442659,39.46590676573154],[-0.3335505450472808,39.465883419067666],[-0.33332126281956154,39.46586794120342],[-0.332507302300231,39.46580778437924]],""type"":""LineString""}"
CEIP La Purisima (Tres Forques),"{""coordinates"":[[-0.4022418749427922,39.45869718798435],[-0.40231097890054346,39.4588082648278],[-0.4024569852400167,39.459042956429826],[-0.40259129731417936,39.45925884629104],[-0.4027067824467622,39.45945147242618],[-0.40275921259245334,39.459528749054606],[-0.4029140916833122,39.4597713742704],[-0.4030255370179099,39.45995682796477],[-0.4031639995859657,39.46018723848621],[-0.40329776473125345,39.460401135177484],[-0.4033575683071784,39.4605093450988],[-0.4033998536030803,39.46058072551449],[-0.4033575683071784,39.4605093450988],[-0.40349481269014303,39.4607377235458],[-0.40363632161262,39.46096917632869],[-0.40382305692973375,39.461274599185046],[-0.40394094822677756,39.46146741929952],[-0.40403370812394235,39.46161126350428],[-0.4040992510311574,39.46172633535911],[-0.4043323700903908,39.462101965159015],[-0.40472847037877957,39.462760760601796],[-0.40478457633074055,39.462852271311185],[-0.404934288025493,39.462860503447985],[-0.40509045081025,39.462948093313834],[-0.4051550733091066,39.463032027478185],[-0.40518366298706887,39.463312449027725],[-0.4051937882577753,39.46346385974104],[-0.4050768817642471,39.46346691426861],[-0.4050220695107961,39.463481427957106],[-0.40502650079687447,39.46360346792734],[-0.4051191600940779,39.46362586259007],[-0.40504329474757156,39.46385351494148],[-0.4050740524893211,39.46387812289416],[-0.4051439544512986,39.46395665252157],[-0.40518035101205535,39.464011641652014],[-0.4051925474292977,39.46403006768692]],""type"":""LineString""}"
