"","Fecha","Estacion","Media_SO2","Media_PM2.5","Media_NO2","Media_O3"
"1","2020-01-01","Avda. Francia",3.875,35.5416666666667,29.5416666666667,18.1666666666667
"2","2020-01-01","Moli del Sol",3,40.1666666666667,17.9166666666667,20.8333333333333
"3","2020-01-01","Pista Silla",4.20833333333333,26.9583333333333,31.0833333333333,17.2916666666667
"4","2020-01-01","Politecnico",3.66666666666667,36.7083333333333,22.5,23.0416666666667
"5","2020-01-02","Avda. Francia",3.29166666666667,4.95833333333333,19.9583333333333,31.8333333333333
"6","2020-01-02","Moli del Sol",3.625,5.54166666666667,10.4583333333333,29.7083333333333
"7","2020-01-02","Pista Silla",4.04166666666667,2.54166666666667,18.75,26.6666666666667
"8","2020-01-03","Avda. Francia",5.25,4.04166666666667,4.95833333333333,71.7083333333333
"9","2020-01-03","Moli del Sol",3.04166666666667,10,2.04166666666667,56.9166666666667
"10","2020-01-03","Pista Silla",4,4.70833333333333,4.95833333333333,55.375
"11","2020-01-03","Politecnico",4.70833333333333,4.16666666666667,3.04166666666667,57.375
"12","2020-01-04","Avda. Francia",3,2.41666666666667,6.58333333333333,70.625
"13","2020-01-04","Moli del Sol",4.39130434782609,3.30434782608696,6.43478260869565,63.1739130434783
"14","2020-01-04","Pista Silla",4,2,1,62
"15","2020-01-04","Politecnico",3,2.33333333333333,4.41666666666667,62.3333333333333
"16","2020-01-05","Avda. Francia",4.29166666666667,3.08333333333333,1.20833333333333,61.8333333333333
"17","2020-01-05","Moli del Sol",3.875,4.75,2.20833333333333,57.2083333333333
"18","2020-01-05","Pista Silla",4.04545454545455,1.27272727272727,1.13636363636364,57.4545454545455
"19","2020-01-05","Politecnico",3,2.75,1.5,50.375
"20","2020-01-06","Avda. Francia",3.8695652173913,5.04347826086957,10.0434782608696,80.4782608695652
"21","2020-01-06","Moli del Sol",3.20833333333333,9.75,7.625,71.9166666666667
"22","2020-01-06","Pista Silla",4.20833333333333,8.33333333333333,21.5833333333333,77.4583333333333
"23","2020-01-06","Politecnico",3.83333333333333,6.625,8.91666666666667,78.0833333333333
"24","2020-01-07","Moli del Sol",3.58333333333333,19.0416666666667,11.0833333333333,52.8333333333333
"25","2020-01-07","Pista Silla",5.08333333333333,13.5416666666667,21.375,54.4583333333333
"26","2020-01-07","Politecnico",3,16.125,7.33333333333333,60.5
"27","2020-01-08","Avda. Francia",3,7.91666666666667,16.1666666666667,70.9166666666667
"28","2020-01-08","Moli del Sol",3,24.0833333333333,9.70833333333333,52.9583333333333
"29","2020-01-08","Politecnico",3,17.5833333333333,6.75,61.875
"30","2020-01-09","Avda. Francia",3.91666666666667,1.91666666666667,12.5416666666667,57.375
"31","2020-01-09","Moli del Sol",3,2.95833333333333,18.3333333333333,56.5
"32","2020-01-09","Pista Silla",3.33333333333333,4.25,27.5,57.9583333333333
"33","2020-01-09","Politecnico",3,4.70833333333333,9.66666666666667,60.125
"34","2020-01-10","Avda. Francia",3.20833333333333,5.70833333333333,16.5416666666667,55.6666666666667
"35","2020-01-10","Moli del Sol",3.54166666666667,5.375,16.2083333333333,55.5416666666667
"36","2020-01-10","Pista Silla",4.16666666666667,8.375,21.4166666666667,47.4583333333333
"37","2020-01-10","Politecnico",5.08333333333333,10.7083333333333,15.6666666666667,63.25
"38","2020-01-10","Puerto Valencia",3,10.9583333333333,32.5,51.3333333333333
"39","2020-01-11","Avda. Francia",4.75,7.95833333333333,19.2083333333333,34.7916666666667
"40","2020-01-11","Moli del Sol",3.875,19.7916666666667,17.6666666666667,36.4583333333333
"41","2020-01-11","Pista Silla",3,11.9166666666667,19.7083333333333,32.5
"42","2020-01-11","Politecnico",6,23.1428571428571,11.1428571428571,28.1428571428571
"43","2020-01-11","Puerto Valencia",3.08333333333333,7.04166666666667,27.625,36.4166666666667
"44","2020-01-12","Avda. Francia",3,9.75,38.8333333333333,11.125
"45","2020-01-12","Moli del Sol",3.68181818181818,15.5909090909091,32.1363636363636,21.2727272727273
"46","2020-01-12","Pista Silla",3.16666666666667,10.4166666666667,37.0833333333333,7.16666666666667
"47","2020-01-12","Politecnico",4.04166666666667,12.7083333333333,25.3333333333333,15.625
"48","2020-01-12","Puerto Valencia",4.47368421052632,12.1578947368421,40.7368421052632,10
"49","2020-01-13","Avda. Francia",4.375,23.375,45.2083333333333,17.0416666666667
"50","2020-01-13","Moli del Sol",3.45833333333333,32.875,31.875,17.9583333333333
"51","2020-01-13","Pista Silla",9.70833333333333,20.0416666666667,54,15.9166666666667
"52","2020-01-13","Politecnico",4.20833333333333,23.625,38.7916666666667,20.7916666666667
"53","2020-01-14","Avda. Francia",5.91666666666667,24.9583333333333,53.5416666666667,16.5833333333333
"54","2020-01-14","Moli del Sol",3.20833333333333,37.9583333333333,35.625,15.9583333333333
"55","2020-01-14","Pista Silla",8.375,20.6666666666667,66.625,12.0416666666667
"56","2020-01-14","Politecnico",4.91666666666667,26.875,44.2916666666667,17.25
"57","2020-01-15","Avda. Francia",3.625,24.5833333333333,48.1666666666667,20.5416666666667
"58","2020-01-15","Moli del Sol",3.25,41.0833333333333,36,16.25
"59","2020-01-15","Pista Silla",10.0869565217391,22.695652173913,60.695652173913,14.8695652173913
"60","2020-01-15","Politecnico",5.375,31.25,45.7916666666667,13.9166666666667
"61","2020-01-16","Avda. Francia",7.08333333333333,28.625,61.2916666666667,12.5
"62","2020-01-16","Moli del Sol",3.20833333333333,37.2916666666667,35.2916666666667,18.7916666666667
"63","2020-01-16","Pista Silla",5.625,22.9166666666667,67.875,13.125
