plazas,Latitud,Longitud
1,39.46726805427298,-0.3575159073550533
2,39.380363802355845,-0.324559304827304
1,39.3875892059494,-0.3275454298577309
2,39.38765732871961,-0.32774759953646787
1,39.46190545005491,-0.3432907192902238
1,39.46326584255231,-0.33464526386905813
1,39.46379158705253,-0.3321664447673338
1,39.47814852558985,-0.35277084359709904
1,39.464131801883916,-0.3540454985375971
1,39.4683068920185,-0.3701413530835038
1,39.48373797997084,-0.3885248823332642
1,39.48406713519943,-0.3871747758404371
1,39.47131620346868,-0.3282109581096005
5,39.45908239446334,-0.3382445976291073
1,39.31112725843505,-0.31774370791923573
1,39.452921373286394,-0.4041514196496486
1,39.47224061193745,-0.3960087063418541
1,39.47340335467329,-0.34986828352176447
1,39.488913011631546,-0.35863851813989844
1,39.45989674911678,-0.3871523032203319
1,39.45409760649751,-0.37854531900628585
1,39.485541396769285,-0.39084886436233807
1,39.472155680150806,-0.3320484367033919
1,39.47918723740676,-0.332306692801171
1,39.469023304652524,-0.3260173369231206
1,39.46895074606477,-0.32601762882128416
1,39.480881023642986,-0.40483324531179293
1,39.4394167226646,-0.3876636594665072
1,39.4592128428585,-0.4075377707610527
1,39.469999283990326,-0.35312407884600533
1,39.485121533617985,-0.3572307718355687
1,39.484227568896145,-0.39898124620329767
1,39.47805332310729,-0.4033031385168276
1,39.466005427107646,-0.38691245340228664
1,39.464743527804224,-0.32880137391335934
1,39.49542318709072,-0.3831771088231162
1,39.49334777498279,-0.3828412495588248
1,39.49304097670828,-0.3833046537033533
1,39.30777130017423,-0.2974326228089168
1,39.496771126939166,-0.3830151970373715
1,39.467311360845265,-0.38997476348738774
1,39.47379058343183,-0.32784297782699556
1,39.474288639063715,-0.3936111493031528
1,39.48431672203697,-0.3568344512815258
1,39.449305625401884,-0.33467407096640717
1,39.46568964332555,-0.3909519409995966
1,39.47133479137093,-0.3664859005979965
1,39.46046502867042,-0.3953735755728631
1,39.458179905135715,-0.3570998408028087
1,39.45404927107166,-0.3988771351231322
1,39.462586820544445,-0.354808726604059
1,39.48998935712432,-0.35775484053269857
1,39.456328581174134,-0.3917194860837252
1,39.494713869768596,-0.37860610666027394
1,39.45465321867231,-0.3879247969682448
1,39.45423379841197,-0.3978202431442813
1,39.451085415023215,-0.39302713516817483
1,39.45058800841659,-0.39313110569121207
1,39.47962666042356,-0.40313221794092197
1,39.45305442231868,-0.3601427617517088
1,39.48067022747688,-0.3707570681496099
1,39.45075766850691,-0.3908296558575462
1,39.45142692287996,-0.3897646641330479
1,39.50277769043089,-0.419088130989041
1,39.45792740678751,-0.3842965656957811
1,39.458192973151405,-0.36620393971992
1,39.4323644944525,-0.36262114246770766
1,39.460017065451986,-0.36696888661928906
1,39.45860749665195,-0.38564006060821693
1,39.41993693062965,-0.3359351615762567
1,39.51562245419884,-0.3909243831323942
1,39.48438426756549,-0.38307795350015883
1,39.471810041024426,-0.32858387614843965
1,39.47034150294216,-0.3288316403774763
1,39.47454902895554,-0.35447570370149184
1,39.47285389750875,-0.35421701809736295
1,39.472537917609564,-0.3701514416926184
1,39.47529859254224,-0.373937717818793
1,39.428009671114296,-0.3935130659736046
1,39.47269694285481,-0.3561405570438132
1,39.49137542583832,-0.3807992823495224
1,39.467292043518235,-0.3648099200833905
1,39.432668450923636,-0.3760611296856232
1,39.432286276936836,-0.39183443001216733
1,39.49100314198425,-0.39417816375224696
1,39.450271408146264,-0.4035101276756767
1,39.46516884347529,-0.3579171155052732
1,39.4836599410149,-0.3876665721268588
1,39.457834581865825,-0.3725894627054753
1,39.460913622650956,-0.3452765135731411
1,39.47628222708773,-0.32986570128807174
1,39.45498610047132,-0.3933011150494685
1,39.497455950074134,-0.4177396881707553
1,39.45412808814921,-0.3731773571171219
1,39.48982505750325,-0.3873942497995951
