Latitud,Longitud,dlibre,regimen
39.46181799907402,-0.3815500000000007,CENTRE PRIVAT FP INS. INTER IV,PRIVADO
39.45441999907407,-0.40336599999999984,CEIP NICOLAU PRIMITIU GÓMEZ SERRANO,PÚBLICO
39.46936299907397,-0.3582570000000006,EI APÓSTOL SANTIAGO,PÚBLICO
39.489858999073846,-0.40165499999999915,EI NIÑO JESÚS,PÚBLICO
39.4813199990739,-0.3985800000000006,IES CAMPANAR,PÚBLICO
39.469437999073975,-0.3513590000000008,CEIP ANGELINA CARNICER,PÚBLICO
39.454726999074076,-0.3790550000000004,CEIP RAFAEL MATEU CÁMARA,PÚBLICO
39.48431899907388,-0.3553820000000006,CEIP PARE CATALÀ,PÚBLICO
39.47142099907397,-0.3848699999999995,"CENTRE PRIVAT FP DANIEL MATALLÍN, SL",PRIVADO
39.503245999073755,-0.362376,CEP REI EN JAUME,PÚBLICO
39.48373999907389,-0.3468310000000004,ESCOLA SUPERIOR D'ART DRAMÀTIC,PÚBLICO
39.48933699907385,-0.37929900000000105,IES EL CLOT,PÚBLICO
39.4980059990738,-0.37426500000000046,CEIP ANTONIO MACHADO,PÚBLICO
39.484418999073895,-0.3944989999999993,CEIP COMUNITAT VALENCIANA,PÚBLICO
39.46475799907402,-0.4101419999999999,IES NÚMERO 26,PÚBLICO
39.461626999074035,-0.40206300000000106,CEIP CIUDAD DE BOLONIA,PÚBLICO
39.47867199907392,-0.3515190000000005,CEIP FEDERICO GARCÍA LORCA,PÚBLICO
39.46515599907401,-0.3369180000000002,CENTRE ENS. PROFESSIONALS DE DANSA MARÍA CARBONELL,PRIVADO
39.47738799907393,-0.32769200000000004,CENTRE PÚBLIC FPA MALVARROSA,PÚBLICO
39.466124999074,-0.3424540000000007,CENTRE PÚBLIC FPA CENTRO SOCIAL DEL GRAO,PÚBLICO
39.49490499907381,-0.36684599999999956,CENTRE PÚBLIC FPA REINA DOÑA GERMANA,PÚBLICO
39.46702099907401,-0.4018910000000016,CENTRE PÚBLIC FPA PARC DE L'OEST,PÚBLICO
39.48195099907391,-0.3552749999999993,IES FRANCESC FERRER I GUÀRDIA,PÚBLICO
39.47235699907395,-0.3501770000000014,CEIP L'AMISTAT,PÚBLICO
39.47186399907396,-0.35662700000000025,CEIP MESTALLA,PÚBLICO
39.48004199907392,-0.37167099999999986,CEE PRIV. PARÁLISIS CEREBRAL INFANTIL CRUZ ROJA,CONCERTADO
39.45128499907409,-0.3336929999999994,ESCOLA PRIVADA DE MÚSICA CENTRE DE MÚSICA NATZARET,PRIVADO
39.470050999073955,-0.3305660000000013,ESCOLA PRIVADA DE MÚSICA POBLADOS MARÍTIMOS,PRIVADO
39.449384999074105,-0.3904489999999997,CENTRE PRIV. ED. INF. 1er CICLE L'ÀNEC BOIG,PRIVADO
39.47124299907398,-0.3839740000000002,CENTRE ELEMENTAL DE DANSA SOCIETAT CORAL EL MICALET,PRIVADO
39.46155599907403,-0.39774600000000004,CENTRE PRIV. ED. INF. 1er CICLE EL CABIROL,PRIVADO
39.50697199907375,-0.36889199999999966,IES DE TAVERNES BLANQUES,PÚBLICO
39.48235299907389,-0.3706009999999997,CENTRE PRIVAT FP C.ESTUDIOS FINANCIEROS,PRIVADO
39.460373999074044,-0.38514600000000027,CENTRE PRIV. ED. INFANTIL GIORGETA,CONCERTADO
39.45587899907407,-0.37241199999999974,ESCOLA PRIVADA DE MÚSICA CRA./FUENTE SAN LUIS,PRIVADO
39.453997999074076,-0.3781700000000008,ESCOLA PRIVADA DE MÚSICA AMPARO ITURBI,PRIVADO
39.49152699907384,-0.3698870000000012,ESCOLA PRIVADA DE MÚSICA DE ORRIOLS,PRIVADO
